Clover ID,Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
9X8M9WVPYBCP0,Charms Sweet Pops/48ct,8.95,Fixed,,DEFAULT,0,,14200337064,,9,,No,No
9YTPKMB6S7Y5W,Caramel Apple Pops/48ct,8.95,Fixed,,DEFAULT,0,,71720305010,,11,,No,No
1R28WJGNQSZ7W,Carousel Junior Gumball Machine,29.95,Fixed,,DEFAULT,0,,42897030005,,8,,No,No
1AB0QP9Y4BYYC,Carousel Petite Gumball Machine,19.95,Fixed,,DEFAULT,0,,42897033006,,9,,No,No
1SB1E22E9Z1SY,Carousel Classic Gumball Machine With Stand,79.95,Fixed,,DEFAULT,0,,42897030067,,3,,No,No
8FKTYTW44JK32,Maple Blend Gift Box/4oz,12.95,Fixed,,DEFAULT,0,,74683001005,,7,,No,No
PN5F2GH2AJB42,Its A Boy Bubble Gum Cigars,15.95,Fixed,,DEFAULT,0,,59642003757,,8,,No,No
S2DN6TKFG3WN8,Its A Boy Bubble Gum Cigars/5ct,2.49,Fixed,,DEFAULT,0,,59642003917,,7,,No,No
ZZJ6QB9YDCCNT,Its A Boy Cigars/24ct,24.95,Fixed,,DEFAULT,0,,609406005,,11,,No,No
0F4BBZ9761AY8,Its A Boy Pops,4.95,Fixed,,DEFAULT,0,,71576098531,,15,,No,No
KT23A0S142VR6,Its A Girl Bubble Gum Cigars,15.95,Fixed,,DEFAULT,0,,59642003764,,9,,No,No
32NG3ADS6ZJ0Y,Its A Girl Bubble Gum Cigars/5ct,2.49,Fixed,,DEFAULT,0,,59642003900,,2,,No,No
MGXSKB01XY5D8,Its A Girl Cigars/24ct,24.95,Fixed,,DEFAULT,0,,609407002,,7,,No,No
38E5A1EKR739R,Its A Girls Pops/9oz,4.95,Fixed,,DEFAULT,0,,71576097534,,14,,No,No
TDKCH5RNH1R2P,Chocolate Truck,2.99,Fixed,,DEFAULT,0,,7.20E+11,,16,,No,No
WXHZZR08NC4G0,Chocolate Train,2.99,Fixed,,DEFAULT,0,,7.20E+11,,13,,No,No
CZJ1Q6SZ98P4C,Peanut Butter Dino,2.99,Fixed,,DEFAULT,0,,7.20E+11,,18,,No,No
1ZJXKF9XA6Q5R,Milk And White Chocolate Doggy,2.99,Fixed,,DEFAULT,0,,7.20E+11,,20,,No,No
ENKK5S3H043BM,Milk And White Chocolate Kitty,2.99,Fixed,,DEFAULT,0,,7.20E+11,,13,,No,No
WMCAPPY6FP38T,Milk Chocolate Unicorn,2.99,Fixed,,DEFAULT,0,,7.20E+11,,32,,No,No
EM89VVY9P6844,Milk Chocolate Ballerina,2.99,Fixed,,DEFAULT,0,,7.20E+11,,3,,No,No
BCD7RNQ742NDE,Milk Chocolate Beauty Set,3.95,Fixed,,DEFAULT,0,,86232310384,,12,,No,No
416ZYKK19S1DE,Milk Chocolate Tool Set,3.95,Fixed,,DEFAULT,0,,86232310360,,3,,No,No
9C60W9MM1P368,Milk Chocolate Birthday Candles,4.95,Fixed,,DEFAULT,0,,609446001,,11,,No,No
TNBCB5ZZH5W0M,Milk Chocolate Crayons,4.95,Fixed,,DEFAULT,0,,609441006,,5,,No,No
