"name","clName","price","SKU","bcSKU","category","description","price_type","cost","tax_rates","quantity","clover_ID",
"Honey Roasted Peanuts",,"3.49","498-3272","498-3272","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Toasted Corn Nuts",,"2.99","499-2362","499-2362","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Cinnamon Spiced Pecans",,"5.99","500-4516","500-4516","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Jumbo Peanuts [Flavor=Salted]",,"3.59","501-SA","501-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Jumbo Peanuts [Flavor=Raw]",,"2.95","501-RA","501-RA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Sunflower Seeds [Flavor=Roasted & Salted]",,"1.99","502-RO","502-RO","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Sunflower Seeds [Flavor=Roasted]",,"1.99","502-RO-1","502-RO-1","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Sunflower Seeds [Flavor=Raw]",,"1.99","502-RA","502-RA","Nuts & Fruit;Nuts & Fruit/Seeds",,"Fixed",,"DEFAULT",,,
"Fancy Cashews",,"7.95","fcas","fcas","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Fancy Cashews [Weight=7 OZ, Flavor=Salted]",,"7.95","503-7O-SA","503-7O-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Fancy Cashews [Weight=7 OZ, Flavor=Un-Salted]",,"7.95","503-7O-UN","503-7O-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Fancy Cashews [Weight=7 OZ, Flavor=Raw]",,"7.95","503-7O-RA","503-7O-RA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Fancy Cashews [Weight=16 OZ, Flavor=Salted]",,"15.95","503-16-SA","503-16-SA","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
"Fancy Cashews [Weight=16 OZ, Flavor=Un-Salted]",,"15.95","503-16-UN","503-16-UN","Nuts & Fruit;Nuts & Fruit/Nuts",,"Fixed",,"DEFAULT",,,
